username,repo_name,stars,repo_url
metabase,metabase,36800,https://github.com/metabase/metabase
logseq,logseq,30100,https://github.com/logseq/logseq
penpot,penpot,28200,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13500,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,9800,https://github.com/kanaka/mal
lk-geimfari,awesomo,9300,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5400,https://github.com/tonsky/datascript
reagent-project,reagent,4700,https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4400,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/riemann/riemann
weavejester,compojure,4100,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
babashka,babashka,3800,https://github.com/babashka/babashka
status-im,status-mobile,3800,https://github.com/status-im/status-mobile
defold,defold,3700,https://github.com/defold/defold
ring-clojure,ring,3700,https://github.com/ring-clojure/ring
clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
